key,data_js_field,起步值,调平值,单位,可调范围,依据
night.len,NEW_FIELD RW.NIGHT.len,180,180,s,150-210,§5.1 夜长；超休闲覆盖为 45
hero.hp,RW.CLASSES.mage.hp,26,26,HP,22-34,data.js mage.hp=26；§5.1 英雄=提灯法杖法师
hero.speed,RW.TUNE.player.speed,165,165,px/s,150-190,data.js；圣火(580,900)→桥南口(580,560) 340px≈2.1s ≤4s（§11 关卡验收）
hero.iframes,RW.TUNE.player.iframes,0.55,0.55,s,0.4-0.8,data.js；接触伤害每秒上限=dmg/0.55
hero.respawn.base,NEW_FIELD RW.NIGHT.respawn.base（PR#3 RW.RESPAWN.base=5；main 无）,5,4,s,3-6,ASSUMPTION：M0 英雄倒下不判负，在圣火旁复活
hero.respawn.coreCost,NEW_FIELD RW.NIGHT.respawn.coreCost（PR#3 RW.RESPAWN.coreCost=0.2）,0.2,0.08,圣火最大生命比例,0.05-0.2,ASSUMPTION：0.2=200HP=10 次摸火，惩罚过重
slash.dmg,NEW_FIELD RW.NIGHT.slash.dmg,24,24,伤害,20-30,§5.1
slash.cd,NEW_FIELD RW.NIGHT.slash.cd,0.45,0.45,s,0.35-0.55,§5.1；战意 rate 加成除这个间隔（沿用 sim.js momRate）
slash.arc,NEW_FIELD RW.NIGHT.slash.arc,120,120,度,90-150,§5.1
slash.radius,NEW_FIELD RW.NIGHT.slash.radius,70,72,px,60-90,§5.1；+2px 抵消小鬼 r=8 贴边漏判
slash.heavyEvery,NEW_FIELD RW.NIGHT.slash.heavyEvery,3,3,次,3-4,§5.1 第 3 下重击
slash.heavyMul,NEW_FIELD RW.NIGHT.slash.heavyMul,1.8,1.8,倍,1.5-2.2,§5.1
slash.heavyKnockMul,NEW_FIELD RW.NIGHT.slash.heavyKnockMul,2,2,倍,1.5-2.5,§5.1
slash.heavyReset,NEW_FIELD RW.NIGHT.slash.heavyReset,—,1.0,s,0.6-1.5,ASSUMPTION：1 秒没挥砍则三连计数归零
slash.near.r0,RW.CLASSES.mage.near.r0（M0 覆盖到 NEW_FIELD RW.NIGHT.slash.near.r0）,60,25,px,15-40,起步沿用 mage.near(60/200/0.4) 时挥砍半径 70 内几乎恒 +37~40%，小鬼 30HP 一刀死，与「两刀」矛盾
slash.near.r1,RW.CLASSES.mage.near.r1（→ RW.NIGHT.slash.near.r1）,200,72,px,=slash.radius,同上：近焰只在挥砍半径内生效
slash.near.bonus,RW.CLASSES.mage.near.bonus,0.4,0.4,比例,0.25-0.5,data.js
slash.knock,NEW_FIELD RW.NIGHT.slash.knock,368,368,冲量 px/s,300-450,位移≈knock×knockRes×0.1086（sim.js KNOCK_DECAY=exp(-10·DT) 求和）；368×1→小鬼 40px
hero.crit,RW.TUNE.player.crit / critMul,0.05 / 2,0.05 / 2,比例/倍,0-0.1,data.js
